original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_logistic_score,shadow_random_forest_score
353,baseline,s1_random_1_percent,forget_known_baseline_member,1,1,0.09767853,2.3260734,-2.3260734,0.09767853,0.90232146,0.319952,-0.319952,0.40232146,0,0,0.4705905771390526,0.4708365880106323
489,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.07533175,0.078320265,-0.078320265,0.92466825,0.92466825,0.26721713,-0.26721713,0.42466825,1,0,0.5029015476991611,0.49814275777925937
946,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.13969617,0.15046954,-0.15046954,0.8603038,0.8603038,0.40441155,-0.40441155,0.36030382,1,0,0.5021220821140261,0.5030401343429306
1059,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,3.9156894e-05,3.9100647e-05,-3.9100647e-05,0.99996084,0.99996084,0.00043652108,-0.00043652108,0.49996084,1,0,0.5024075211645634,0.4810699966731854
1109,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.13711609,0.14747512,-0.14747512,0.8628839,0.8628839,0.3996936,-0.3996936,0.36288393,1,0,0.502165690665245,0.5030401343429306
1116,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.00065248867,0.00065279007,-0.00065279007,0.9993475,0.9993475,0.0054380987,-0.0054380987,0.4993475,1,0,0.5024440444391124,0.5105463814078238
1523,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.0059214197,0.005939007,-0.005939007,0.9940786,0.9940786,0.03627588,-0.03627588,0.49407858,1,0,0.5026215722851671,0.5021286983292506
1714,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.2122709,0.23860109,-0.23860109,0.7877291,0.7877291,0.51694995,-0.51694995,0.28772908,1,0,0.5005316476858759,0.4978511566787156
1841,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.012010484,0.012083054,-0.012083054,0.98798954,0.98798954,0.0650481,-0.0650481,0.48798952,1,0,0.502748665757875,0.5014746976477189
1860,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.00055491715,0.00055503845,-0.00055503845,0.9994451,0.9994451,0.004714808,-0.004714808,0.49944508,1,0,0.5024390484726498,0.5209943930876189
2070,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.0079404125,0.00797224,-0.00797224,0.9920596,0.9920596,0.04630697,-0.04630697,0.4920596,1,0,0.5026693481064023,0.501491673653351
2167,baseline,s1_random_1_percent,forget_known_baseline_member,1,1,0.7985967,0.22489923,-0.22489923,0.7985967,0.7985967,0.5023417,-0.5023417,0.29859668,1,1,0.5078187022378796,0.5126567936565354
2893,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.00020074502,0.0002002716,-0.0002002716,0.99979925,0.99979925,0.0019097661,-0.0019097661,0.49979925,1,0,0.5024189021061568,0.461946844177145
3127,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.0053407624,0.0053548813,-0.0053548813,0.99465925,0.99465925,0.033271402,-0.033271402,0.49465925,1,0,0.5026064717743561,0.4994011298450441
3204,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.0066301995,0.006652355,-0.006652355,0.9933698,0.9933698,0.039866034,-0.039866034,0.4933698,1,0,0.5026391273849972,0.5039909079904237
3320,baseline,s1_random_1_percent,forget_known_baseline_member,1,0,0.17462577,0.19191837,-0.19191837,0.82537425,0.82537425,0.46314564,-0.46314564,0.32537425,1,0,0.5014420096801693,0.5007374225395458
3729,baseline,s1_random_1_percent,forget_known_baseline_member,1,1,0.08950893,2.4134169,-2.4134169,0.08950893,0.91049105,0.3014002,-0.3014002,0.41049108,0,0,0.46792576760678756,0.4864181512367006
